Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Link),Epic Link Summary,Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Satisfaction rating,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Work category),Custom field ([CHART] Date of First Response),Status Category
"In Pay Grades, in the Currencies field, Maximum Salary we can register negative number, appear error ""Should be a number"".",OH-108,10107,Bug,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/14/2023 14:48,2/14/2023 14:48,2/14/2023 14:48,,OrangeHRM Release 1,OrangeHRM Release 1,,0,"Preconditions: Does not exist.

Steps to reproduce:
1. Go to https://opensource-demo.orangehrmlive.com/
2. Enter Username: Admin
             Password: admin123
3. Enter the Admin on the left side >> Job>> Pay Grades.
4. Click on the edit button represented by a pen on the right.
5. In form Currencies click button ""Add"".
6. In the field Currency select from the dropdown currency. 
7. In the field Minimum Salary introduce the positive number 1000.
6. In the field Maximum Salary introduce the negative number -1 (minus one).

Expected Result: Will appear under the field Maximum Salary error: ""Should be a 0 (zero) or positive number"".
Actual Result: Will appear under the field Maximum Salary error: ""Should be a number"".","Testing
Browser: Opera 95.0.4635.37",robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,OH-5,OH-94,,,,,,,,,,,,,14/Feb/23 2:47 PM;637ea40d3e79f12e5720faef;Screenshot 2023-02-14 144549.jpg;https://svtestjira2022.atlassian.net/secure/attachment/10003/Screenshot+2023-02-14+144549.jpg,,,,,,,,,,,,,,0|i000ar:,,,,,,,,,,,,,,To Do
"In Pay Grades, in the Currencies field, Minimum Salary we can register negative number, appear error ""Should be a number"".",OH-107,10106,Bug,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/14/2023 14:35,2/14/2023 14:35,3/22/2023 21:24,,,OrangeHRM Release 1,,0,"Preconditions: Does not exist.

Steps to reproduce:
1. Go to https://opensource-demo.orangehrmlive.com/
2. Enter Username: Admin
              Password: admin123
3. Enter the Admin on the left side >> Job>> Pay Grades.
4. Click on the edit button represented by a pen on the right.
5. In form Currencies click button ""Add"".
6. In the field Currency select from the dropdown currency. Introduce Minimum Salary number -1 (minus one).

Expected Result: Will appear under the field Minimum Salary error: ""Should be a 0 (zero) or positive number"".
Actual Result: Will appear under the field Minimum Salary error: ""Should be a number"".
",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,OH-5,OH-93,,,,,,,,,,,,,14/Feb/23 2:35 PM;637ea40d3e79f12e5720faef;изображение_2023-02-14_143515265.png;https://svtestjira2022.atlassian.net/secure/attachment/10002/%D0%B8%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_2023-02-14_143515265.png,,,,,,,,,,,,,,0|i000aj:,,,,,,,,,,,,,,To Do
"In Leave Entitlements and Usage Report, in the field Leave Period, there is no button  Create PDF/XPS Document Report",OH-106,10105,Bug,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/14/2023 13:54,2/14/2023 13:57,3/22/2023 21:24,,OrangeHRM Release 1,OrangeHRM Release 1,,0,"Preconditions: Does not exist.

Steps to reproduce:
1. Go to [https://opensource-demo.orangehrmlive.com/|https://opensource-demo.orangehrmlive.com/]
2. Enter Username: Admin
Password: admin123
3. Enter the Leave on the left side >> Reports >> Leave Entitlements and Usage Report
4. Click button Leave Type and in the field Leave Period we enter the period. Click button Generate.
5. The report is generated at the bottom of the application.

Expected Result: To export or save the report: Click button ""Export/Save As"" 
Actual Result: It's not the button ""Export/Save As"".","Testing
Browser: Opera 95.0.4635.37",robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,OH-86,OH-89,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ab:,,,,,,,,,,,,,,To Do
"In My Leave List, in the field Show Leave with Status, the list Status is not active when click dropdown button which is required.",OH-104,10103,Bug,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,High,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/14/2023 13:10,3/9/2023 10:26,3/9/2023 10:25,,OrangeHRM Release 1,OrangeHRM Release 1,,0,"Preconditions: Does not exist.

*Steps to reproduce:*
1. Go to [https://opensource-demo.orangehrmlive.com/|https://opensource-demo.orangehrmlive.com/]
2. Enter Username: Admin
Password: admin123
3. Enter the Leave on the left side >> My Leave
4. Click on the dropdown button Show Leave with Status. This field is required.

5. The Status list opens.

5. From the open list, selected and click on the Status ""Cancelled"".

*Expected Result:* In the dropdown Show Leave with Status, the Status ""Cancelled"" is displayed in the field.
*Actual Result:*      In the dropdown Show Leave with Status it not active the list of Status and the Status “Cancelled“ is not displayed in the field.","Testing
Browser: Opera 95.0.4635.37",robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,OH-86,OH-87,,,,,,,,,,,,,14/Feb/23 1:09 PM;637ea40d3e79f12e5720faef;изображение_2023-02-14_130956079.png;https://svtestjira2022.atlassian.net/secure/attachment/10000/%D0%B8%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_2023-02-14_130956079.png,,,,,,,,,,,,,,0|i0009v:,,,,,,,,,,,,,,To Do
"In Job Details, in the field Contract Details on Add Attachment in the message that appears, the type of the attached format is not specified.",OH-103,10102,Bug,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/14/2023 12:39,3/18/2023 13:11,3/22/2023 21:24,,OrangeHRM Release 1,OrangeHRM Release 1,,0,"Preconditions: Does not exist.

Steps to reproduce:
1. Go to https://opensource-demo.orangehrmlive.com/
2. Enter Username: Admin
             Password: admin123
3. Enter the PIM on the left side >> Employee List.
4. Choose employee and click on the edit button represented by a pen on the right.
5. Click on the Job.
6. Click the button Include Employment Contract Details


Expected Result: Under the dropdown Contract Details the message appears: ""Accepts format docx, xlsx, doc, pdf and up to 1MB""
Actual Result: Under the dropdown Contract Details the message appears: ""Accepts format up to 1MB""","Testing
Browser: Opera 95.0.4635.37",robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,OH-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009n:,,,,,,,,,,,,,,To Do
"In Job Details, in the field Contract Start Date, we can register a date future than today.",OH-102,10101,Bug,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/14/2023 12:23,3/9/2023 10:35,3/9/2023 10:33,,OrangeHRM Release 1,OrangeHRM Release 1,,0,"Preconditions: Does not exist.

*Steps to reproduce:*
1. Go to [https://opensource-demo.orangehrmlive.com/|https://opensource-demo.orangehrmlive.com/]
2. Enter Username: Admin
             Password: admin123
3. Enter the PIM on the left side >> Employee List.
4. Choose employee and click on the edit button represented by a pen on the right.

5. Edit Personal Details form will appear.
6. Click on the Job.

7. Job Details form will appear.
8. Click the button Include Employment Contract Details.
9. In the field Contract Start Date put a future date than today.

*Expected Result:* The following error should appear under the Contract Start Date field: ""The future date than today is not accepted"".
*Actual Result:*      In the field Contract Start Date is saved with a future date than today.","Testing
Browser: Opera 95.0.4635.37",robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,OH-77,OH-84,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009f:,,,,,,,,,,,,,,To Do
"In Job, in the field Joined Date, we can register a date future than today",OH-101,10100,Bug,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/14/2023 12:13,3/9/2023 10:41,3/9/2023 10:38,,OrangeHRM Release 1,OrangeHRM Release 1,,0,"Preconditions: Does not exist.

*Steps to reproduce:*
1. Go to [https://opensource-demo.orangehrmlive.com/|https://opensource-demo.orangehrmlive.com/]
2. Enter Username: Admin
             Password: admin123
3. Enter the PIM on the left side >> Employee List.
4. Choose employee and click on the edit button represented by a pen on the right.

5. Edit Personal Details form will appear.
6. Click on the Job.

7. Job Details form will appear.
8. In the field Joined Date put a future date than today.

*Expected Result:* The following error should appear under the Joined Date field: ""The future date than today is not accepted"".
*Actual Result:*      In the field Joined Date is saved with a future date than today.",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,OH-77,OH-83,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00097:,,,,,,,,,,,,,,To Do
"In Immigration, In the field Issued Date of passport., we can register a date future than today.",OH-100,10099,Bug,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/14/2023 11:59,3/9/2023 10:46,3/9/2023 10:42,,OrangeHRM Release 1,OrangeHRM Release 1,,0,"Preconditions: Does not exist.

*Steps to reproduce:*
1. Go to [https://opensource-demo.orangehrmlive.com/|https://opensource-demo.orangehrmlive.com/]
2. Enter Username: Admin
             Password: admin123
3. Enter the PIM on the left side >> Employee List.
4. Choose employee and click on the edit button represented by a pen on the right.

5. Edit Personal Details form will appear.
6. Click on the Immigration and on the Assigned Immigration Records click button ""Add"".

7. Add Immigration form will appear.

8. Click button “Passport“.
9. In the field Issued Date of passport put a future date than today.

*Expected Result:* The following error should appear under the Issued Date field: ""The future date than today is not accepted"".
*Actual Result:*      In the field Issued Date is saved with a future date than today.","Testing
Browser: Opera 95.0.4635.37",robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,OH-77,OH-82,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008z:,,,,,,,,,,,,,,To Do
"In Personal Details, in the field SSN Number a number is accepted of more than 30 characters",OH-97,10096,Bug,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/14/2023 11:20,3/9/2023 11:02,3/9/2023 10:58,,OrangeHRM Release 1,OrangeHRM Release 1,,0,"Preconditions: Does not exist.

*Steps to reproduce:*
1. Go to [https://opensource-demo.orangehrmlive.com/|https://opensource-demo.orangehrmlive.com/]
2. Enter Username: Admin
             Password: admin123
3. Enter the PIM on the left side >> Employee List.

4. Choose employee and click on the edit button represented by a pen on the right.

5. Personal Details form will appear.
6. In the field SSN Number enter a number of 31 characters..

*Expected Result:* It must not allow us to enter a number with 31 characters (from the keyboard).
                             The following message should appear under the SSN Number field: ""Should not exceed 30 characters"".

*Actual Result:* Are recorded 31 characters from the keyboard.
                         The following message should appear under the SSN Number field: ""Should not exceed 30 characters"".","Testing
Browser: Opera 95.0.4635.37

",robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,OH-77,OH-79,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008b:,,,,,,,,,,,,,,To Do
"In Personal Detail, in the date of birth field, we can register a date future than today",OH-96,10095,Bug,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/14/2023 10:53,3/9/2023 10:53,3/18/2023 19:13,,OrangeHRM Release 1,OrangeHRM Release 1,,0,"Preconditions: Does not exist.

*Steps to reproduce:*
1. Go to [https://opensource-demo.orangehrmlive.com/|https://opensource-demo.orangehrmlive.com/]
2. Enter Username: Admin
             Password: admin123
3. Enter the PIM on the left side >> Employee List.

4. Choose employee and click on the edit button represented by a pen on the right.

5. Edit Personal Details form will appear.
6. In the field Date of Birth put a future date than today.

*Expected Result:* The following error should appear under the Date of Birth field: ""The future date than today is not accepted"".
*Actual Result:*      In the field Date of Birth is saved with a future date than today.","Testing
Browser: Opera 95.0.4635.37
",robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,OH-77,OH-78,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00083:,,,,,,,,,,,,,,To Do
